worldline_id,observation_count,birth_cycle,death_cycle,h3_path_length,mean_h3_step,class_mode,particle_like,localization_pass,persistence_pass,sector_stability_pass,transportability_pass,bulk_localization_pass
worldline_000000,12,0,127,3.278255462646484e-07,2.980232238769531e-08,transposition,False,True,True,True,False,False
worldline_000002,12,0,127,9.272306672396682e-07,8.429369702178802e-08,threecycle,False,True,True,True,False,False
worldline_000003,12,0,127,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000010,12,0,127,4.636153336198344e-07,4.2146848510894035e-08,transposition,False,True,True,True,False,False
worldline_000012,12,0,127,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000017,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000020,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000021,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000023,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000031,12,0,127,6.556510925292968e-07,5.960464477539062e-08,transposition,False,True,True,True,False,False
worldline_000038,12,0,127,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000041,12,0,127,6.556510925292968e-07,5.960464477539062e-08,transposition,False,True,True,True,False,False
worldline_000049,12,0,127,2.521158726438355,0.22919624785803228,transposition,False,True,True,True,False,False
worldline_000051,12,0,127,6.556510925292968e-07,5.960464477539062e-08,threecycle,False,True,True,True,False,False
worldline_000052,12,0,127,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000055,12,0,127,3.278255462646484e-07,2.980232238769531e-08,threecycle,False,True,True,True,False,False
worldline_000060,12,0,127,6.556510925292968e-07,5.960464477539062e-08,threecycle,False,True,True,True,False,False
worldline_000061,12,0,127,1.2068801154111741,0.10971637412828855,transposition,False,True,True,True,False,False
worldline_000067,12,0,127,4.636153336198344e-07,4.2146848510894035e-08,threecycle,False,True,True,True,False,False
worldline_000068,12,0,127,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000070,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000075,12,0,127,3.111768373929671,0.28288803399360646,transposition,False,True,True,True,False,False
worldline_000095,12,0,127,4.636153336198344e-07,4.2146848510894035e-08,transposition,False,True,True,True,False,False
worldline_000106,12,0,127,0.9651338700736385,0.08773944273396714,transposition,False,True,True,True,False,False
worldline_000112,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000117,12,0,127,3.215098381552771,0.2922816710502519,transposition,False,True,True,True,False,False
worldline_000119,12,0,127,2.333293223067532,0.21211756573341198,transposition,False,True,True,True,False,False
worldline_000121,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000126,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000135,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000139,12,0,127,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000140,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000141,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000145,12,0,127,0.5216720270415169,0.04742472973104699,transposition,False,True,True,True,False,False
worldline_000148,12,0,127,6.556510925292968e-07,5.960464477539062e-08,transposition,False,True,True,True,False,False
worldline_000152,12,0,127,3.004085096202553,0.27309864510932297,transposition,False,True,True,True,False,False
worldline_000157,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000158,12,0,127,2.6219559616983967,0.23835963288167242,transposition,False,True,True,True,False,False
worldline_000160,12,0,127,0.43582402814880894,0.039620366195346264,transposition,False,True,True,True,False,False
worldline_000163,12,0,127,6.556510925292968e-07,5.960464477539062e-08,threecycle,False,True,True,True,False,False
worldline_000166,12,0,127,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000169,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000171,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000173,12,0,127,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000178,12,0,127,3.1414387336837297,0.2855853394257936,transposition,False,True,True,True,False,False
worldline_000184,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000185,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000186,12,0,127,9.272306672396682e-07,8.429369702178802e-08,transposition,False,True,True,True,False,False
worldline_000189,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000191,12,0,127,9.272306672396682e-07,8.429369702178802e-08,transposition,False,True,True,True,False,False
worldline_000207,12,0,127,0.15959072812177477,0.014508248011070434,threecycle,False,True,True,True,False,False
worldline_000208,12,0,127,0.15959072812177477,0.014508248011070434,threecycle,False,True,True,True,False,False
worldline_000211,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000219,12,0,127,0.15959108574964342,0.014508280522694856,transposition,False,True,True,True,False,False
worldline_000221,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000228,12,0,127,5.678105021493927e-07,5.1619136559035694e-08,threecycle,False,True,True,True,False,False
worldline_000230,12,0,127,0.45264789653398996,0.04114980877581727,transposition,False,True,True,True,False,False
worldline_000231,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000241,12,0,127,6.556510925292968e-07,5.960464477539062e-08,transposition,False,True,True,True,False,False
worldline_000242,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000248,12,0,127,0.5333072779779241,0.04848247981617492,transposition,False,True,True,True,False,False
worldline_000251,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000253,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000258,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000266,12,0,127,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000268,12,0,127,6.556510925292968e-07,5.960464477539062e-08,threecycle,False,True,True,True,False,False
worldline_000270,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000271,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000273,12,0,127,2.657671264457824,0.24160647858707493,transposition,False,True,True,True,False,False
worldline_000274,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000280,12,0,127,0.4592326012754648,0.04174841829776953,transposition,False,True,True,True,False,False
worldline_000284,12,0,127,0.19028803635393027,0.01729891239581184,transposition,False,True,True,True,False,False
worldline_000294,12,0,127,0.21946704451941929,0.01995154950176539,threecycle,False,True,True,True,False,False
worldline_000295,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000299,12,0,127,0.3965469209343606,0.03604972008494187,transposition,False,True,True,True,False,False
worldline_000307,12,0,127,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000316,12,0,127,4.636153336198344e-07,4.2146848510894035e-08,transposition,False,True,True,True,False,False
worldline_000320,12,0,127,0.32955859216900135,0.02995987201536376,transposition,False,True,True,True,False,False
worldline_000321,12,0,127,2.9824353844872338,0.27113048949883944,transposition,False,True,True,True,False,False
worldline_000326,12,0,127,1.3113021850585931e-06,1.192092895507812e-07,transposition,False,True,True,True,False,False
worldline_000327,12,0,127,3.278255462646484e-07,2.980232238769531e-08,transposition,False,True,True,True,False,False
worldline_000334,12,0,127,9.272306672396682e-07,8.429369702178802e-08,threecycle,False,True,True,True,False,False
worldline_000335,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000345,12,0,127,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000349,12,0,127,2.485038294791775,0.2259125722537977,threecycle,False,True,True,True,False,False
worldline_000356,12,0,127,4.092698053837498,0.3720634594397726,threecycle,False,True,True,True,False,False
worldline_000358,12,0,127,0.4220223199325621,0.038365665448414736,threecycle,False,True,True,True,False,False
worldline_000363,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000365,12,0,127,4.636153336198344e-07,4.2146848510894035e-08,transposition,False,True,True,True,False,False
worldline_000366,12,0,127,3.531297810231469,0.3210270736574063,transposition,False,True,True,True,False,False
worldline_000367,12,0,127,6.556510925292968e-07,5.960464477539062e-08,transposition,False,True,True,True,False,False
worldline_000375,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000377,12,0,127,4.636153336198344e-07,4.2146848510894035e-08,transposition,False,True,True,True,False,False
worldline_000384,12,0,127,0.3039713006999752,0.027633754609088654,threecycle,False,True,True,True,False,False
worldline_000389,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000406,12,0,127,4.636153336198344e-07,4.2146848510894035e-08,threecycle,False,True,True,True,False,False
worldline_000412,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000417,12,0,127,0.15959078772641955,0.014508253429674505,transposition,False,True,True,True,False,False
worldline_000421,12,0,127,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000423,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000431,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000433,12,0,127,3.0920496969530418,0.2810954269957311,threecycle,False,True,True,True,False,False
worldline_000434,12,0,127,2.2481921468207466,0.20438110425643152,transposition,False,True,True,True,False,False
worldline_000436,12,0,127,2.2481921468207466,0.20438110425643152,threecycle,False,True,True,True,False,False
worldline_000438,12,0,127,1.4941359142941824,0.1358305376631075,transposition,False,True,True,True,False,False
worldline_000440,12,0,127,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000443,12,0,127,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000451,12,0,127,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000452,12,0,127,4.636153336198344e-07,4.2146848510894035e-08,transposition,False,True,True,True,False,False
worldline_000453,12,0,127,0.7151277377502285,0.06501161252274805,transposition,False,True,True,True,False,False
worldline_000457,12,0,127,9.272306672396682e-07,8.429369702178802e-08,transposition,False,True,True,True,False,False
worldline_000464,12,0,127,0.21010902578316262,0.019100820525742055,transposition,False,True,True,True,False,False
worldline_000470,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000474,12,0,127,6.556510925292968e-07,5.960464477539062e-08,transposition,False,True,True,True,False,False
worldline_000484,12,0,127,3.278255462646484e-07,2.980232238769531e-08,transposition,False,True,True,True,False,False
worldline_000498,12,0,127,2.9537722133760402,0.2685247466705491,transposition,False,True,True,True,False,False
worldline_000509,12,0,127,9.272306672396682e-07,8.429369702178802e-08,transposition,False,True,True,True,False,False
worldline_000511,12,0,127,6.556510925292968e-07,5.960464477539062e-08,threecycle,False,True,True,True,False,False
worldline_000202,9,0,92,4.7683715820312495e-07,5.960464477539062e-08,transposition,False,True,True,True,False,False
worldline_000303,9,0,92,0.7964240706141154,0.09955300882676442,transposition,False,True,True,True,False,False
worldline_000478,9,0,92,2.5321989628845527,0.3165248703605691,transposition,False,True,True,True,False,False
worldline_000462,8,0,80,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000001,7,0,69,2.9537722133760402,0.4922953688960067,threecycle,False,True,True,True,False,False
worldline_000143,7,0,69,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000229,7,0,69,3.576278686523437e-07,5.960464477539062e-08,threecycle,False,True,True,True,False,False
worldline_000324,7,0,69,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000376,7,0,69,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000427,7,0,69,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000193,6,0,57,0.27503131460432,0.055006262920864,transposition,False,True,True,True,False,False
worldline_000360,6,0,57,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000518,5,34,80,0.4754328951395096,0.1188582237848774,threecycle,False,True,True,True,False,False
worldline_000080,4,0,34,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000293,4,0,34,2.538900224334642,0.846300074778214,transposition,False,True,True,True,False,False
worldline_000278,3,0,23,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000386,3,0,23,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000392,3,0,23,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000399,3,0,23,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000402,3,0,23,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000418,3,0,23,8.429369702178806e-08,4.214684851089403e-08,transposition,False,True,True,True,False,False
